Year,Province,Regency/City,Plastic per day (ton),Plastic per year (ton)
2019,Jawa Tengah,Kab. Sukoharjo,51.36534,18748.554084
2019,Jawa Tengah,Kab. Wonogiri,51.56246000000001,18820.366398000002
2019,Jawa Tengah,Kab. Sragen,59.133030000000005,21583.69359
2019,Jawa Tengah,Kab. Grobogan,110.871,40467.861
2019,Jawa Tengah,Kab. Rembang,78.852605,28780.94934
2019,Jawa Tengah,Kab. Pati,76.86027157894736,28053.976128947368
2019,Jawa Tengah,Kab. Kudus,39.22559999999999,14317.4916
2019,Jawa Tengah,Kab. Jepara,135.028881,49285.47286
2019,Jawa Tengah,Kab. Semarang,95.8958,35002.24
2019,Jawa Tengah,Kab. Kendal,43.554328,15897.156484
2019,Jawa Tengah,Kab. Batang,35.35002157894737,12903.032311578947
2019,Jawa Tengah,Kab. Pemalang,78.168,28531.582000000002
2019,Jawa Tengah,Kab. Brebes,63.3185,23111.2014
2019,Jawa Tengah,Kota Magelang,0.6831200000000001,249.35168
2019,Jawa Tengah,Kota Semarang,215.29412,78582.2162
2020,Jawa Tengah,Kab. Cilacap,154.311876,56323.747714000005
2020,Jawa Tengah,Kab. Purworejo,25.926299999999998,9463.2174
2020,Jawa Tengah,Kab. Wonosobo,70.33,25670.420000000002
2020,Jawa Tengah,Kab. Magelang,121.88288999999999,44486.92907
2020,Jawa Tengah,Kab. Boyolali,54.86346188888889,20025.19407655556
2020,Jawa Tengah,Kab. Sukoharjo,55.329519999999995,20195.252
2020,Jawa Tengah,Kab. Wonogiri,109.36,39915.9625
2020,Jawa Tengah,Kab. Sragen,60.37703,22037.64872
2020,Jawa Tengah,Kab. Blora,148.568,54227.3
2020,Jawa Tengah,Kab. Rembang,82.02545,29938.986090000002
2020,Jawa Tengah,Kab. Pati,124.79898933333335,45551.665404666666
2020,Jawa Tengah,Kab. Kudus,84.00914011111112,30663.19704311111
2020,Jawa Tengah,Kab. Jepara,136.828952,49942.31229
2020,Jawa Tengah,Kab. Semarang,101.346,36991.1171
2020,Jawa Tengah,Kab. Temanggung,52.456796,19146.89966
2020,Jawa Tengah,Kab. Kendal,46.07694,16818.165663000003
2020,Jawa Tengah,Kab. Batang,45.829749777777785,16727.53855422222
2020,Jawa Tengah,Kab. Pemalang,97.925,35742.6625
