Year,Province,Regency/City,Plastic per day (ton),Plastic per year (ton),Land Area (km2),Population,GDP,Gini,HDI,highest_restriction,start_date,Years Since Start,Plastic Growth Rate,log_GDP,log_Gini,squareroot_landarea
2022,Aceh,ACEH BARAT,18.46026,6737.92938,2782.87,202858.0,13346482.82,0.265,72.34,Fee,2020,2,,7.12536683175924,-0.5767541260631921,52.752914611422185
2022,Aceh,PIDIE,63.47460000000001,23168.489610000004,3177.49,444505.0,12375223.06,0.223,71.2,Fee,2020,2,,7.092553035715026,-0.6516951369518393,56.36922919465903
2022,Aceh,SIMEULUE,15.939152999999996,5817.161996999999,1821.75,94876.0,2650278.35,0.279,67.27,Fee,2020,2,2.414213913229446,6.4232914888502775,-0.5543957967264024,42.68196340376108
2022,Aceh,ACEH SINGKIL,11.6094,4237.4948,1852.82,130787.0,2984474.56,0.296,69.62,Fee,2020,2,,6.474867881267999,-0.5287082889410615,43.04439568631438
2022,Aceh,ACEH BARAT DAYA,9.3204,3401.7708,1882.28,155046.0,4534355.7,0.24,67.41,Fee,2020,2,,6.656515585593758,-0.619788758288394,43.385250950063664
2022,Aceh,GAYO LUES,10.265,3746.505,5541.29,103131.0,3067003.46,0.254,68.25,Fee,2020,2,49.33866160530256,6.486714265926424,-0.595166283380062,74.43984148290484
2022,Aceh,ACEH JAYA,6.609400000000001,2412.3806000000004,3872.35,96028.0,3116831.18,0.299,70.36,Fee,2020,2,-27.026411989780375,6.493713279793687,-0.5243288116755703,62.228209037381106
2022,Aceh,NAGAN RAYA,13.872,5063.076000000001,3524.16,173393.0,11322456.81,0.236,70.1,Fee,2020,2,,7.053940672723116,-0.6270879970298935,59.36463593756808
2022,Aceh,ACEH TAMIANG,36.216,13218.84,2187.66,301492.0,10329951.5,0.305,70.43,Fee,2020,2,,7.014098282474914,-0.5157001606532142,46.77242777534645
2022,Aceh,BENER MERIAH,11.878199999999998,4335.2532,1907.4,16869.0,5446973.0,0.257,73.9,Fee,2020,2,22.477546388309968,6.73615522253216,-0.5900668766687055,43.67379076746144
2022,Aceh,PIDIE JAYA,20.6778,7547.6544,939.0,162771.0,3968178.81,0.231,74.34,Fee,2020,2,,6.598591233655188,-0.6363880201078557,30.643106892089126
2022,Aceh,KOTA BANDA ACEH,12.10608,4418.68224,56.77,257635.0,21556951.29,0.391,86.28,Ban,2020,2,-70.67337023981993,7.333587340394474,-0.40782324260413316,7.534586916347837
2022,Aceh,KOTA SABANG,3.90528,1425.69162,122.06,43208.0,1637267.99,0.298,76.85,Fee,2020,2,2.71474720107332,6.214119771075068,-0.5257837359237448,11.048076755707303
2022,Aceh,KOTA LANGSA,11.3328,4136.4288,224.24,19263.0,6246284.71,0.368,77.82,Fee,2020,2,22.078615672844325,6.79562177578978,-0.43415218132648237,14.974645237867907
2022,Aceh,KOTA SUBULUSSALAM,6.6726,2435.3946,1183.6,95199.0,2329706.99,0.33,66.2,Fee,2020,2,-1.7741077764756974,6.36730130273067,-0.4814860601221125,34.40348819523974
2019,Bali,JEMBRANA,36.18212,13206.39424,849.13,278100.0,14136696.15,0.29,72.35,Ban,2019,0,,7.150347923500643,-0.5376020021010439,29.139835277502858
2019,Bali,BADUNG,38.709503600000005,14128.8786712,398.75,670200.0,62836113.71,0.324,81.59,Ban,2018,1,,7.798209316939317,-0.48945498979338786,19.96872554771586
2019,Bali,GIANYAR,74.05643700000002,27030.599505,364.36,512200.0,28520276.65,0.287,77.14,Ban,2019,0,,7.4551537339072365,-0.5421181032660077,19.08821626030049
2019,Bali,BANGLI,4.3212,1577.2148000000002,526.76,227300.0,6993642.45,0.274,69.35,Ban,2019,0,,6.844703425233544,-0.562249437179612,22.95125268912353
2019,Bali,KARANGASEM,28.449614000000004,10384.10911,839.32,416600.0,17086880.04,0.313,67.34,Ban,2019,0,,7.232662770438122,-0.5044556624535516,28.97102000275448
2019,Bali,BULELENG,34.120306,12453.986004,1322.75,660600.0,35362315.65,0.285,72.3,Ban,2019,0,,7.548540696417075,-0.5451551399914898,36.36963018783666
2019,Bali,KOTA DENPASAR,97.7295,35671.224,125.87,947100.0,55456044.06,0.347,83.68,Ban,2019,0,,7.743948886082281,-0.4596705252091263,11.21918000568669
2020,Bali,JEMBRANA,36.3987,13285.48572,849.13,317064.0,13437613.88,0.353,72.36,Ban,2019,1,0.5988877702927109,7.12832215779892,-0.4522252946121775,29.139835277502858
2020,Bali,TABANAN,96.9444,35383.9416,849.31,461630.0,22257584.9,0.324,76.17,Ban,2019,1,,7.347478038637249,-0.48945498979338786,29.142923669391855
2020,Bali,BADUNG,77.65036400000001,28342.813576,398.75,548191.0,49026027.29,0.317,81.6,Ban,2018,2,100.60200271783333,7.690426702629551,-0.4989407377822485,19.96872554771586
2020,Bali,GIANYAR,74.95728799999999,27359.099263999997,364.36,515344.0,25841721.14,0.317,77.36,Ban,2019,1,1.2152884694223376,7.412321435666379,-0.4989407377822485,19.08821626030049
2020,Bali,BANGLI,3.389278,1237.077451,526.76,258721.0,6716085.63,0.283,69.36,Ban,2019,1,-21.5656959977804,6.827116224750021,-0.5482135644757098,22.95125268912353
