Province/Regency/City,Year,Population,Luas wilayah (km2)[2],Gini,HDI,GDP
KOTA TEGAL,2017,248094.0,39.68,0.365,73.95,12996752.28
D I YOGYAKARTA,2017,3762167.0,3185.81,0.432,78.89,
KULON PROGO,2017,421295.0,586.27,0.392,73.23,9060465.33
BANTUL,2017,995264.0,506.86,0.413,78.67,22611706.74
GUNUNG KIDUL,2017,729364.0,1485.36,0.34,68.73,16199841.88
SLEMAN,2017,1192512.0,574.82,0.406,82.85,40047863.6
KOTA YOGYAKARTA,2017,422732.0,32.5,0.446,85.49,31309045.23
JAWA TIMUR,2017,39292971.0,45609.78,0.4,70.27,
PACITAN,2017,553388.0,1389.92,0.32,66.51,13775322.27
PONOROGO,2017,869894.0,1305.7,0.34,69.26,17690420.18
TRENGGALEK,2017,693104.0,1147.22,0.35,68.1,16081654.54
TULUNGAGUNG,2017,1030790.0,1055.65,0.35,71.24,33640178.0
BLITAR,2017,1153803.0,1336.48,0.37,69.33,31574359.64
KEDIRI,2017,1561392.0,1386.05,0.34,70.47,35789536.58
MALANG,2017,2576596.0,3530.65,0.35,68.47,88979167.77
LUMAJANG,2017,1036823.0,1790.9,0.31,64.23,28632849.08
JEMBER,2017,2430185.0,3092.34,0.34,64.96,67389720.71
BANYUWANGI,2017,1604897.0,3593.06,0.34,69.64,72130211.49
BONDOWOSO,2017,768912.0,1525.97,0.32,64.75,17126689.64
SITUBONDO,2017,676703.0,1669.87,0.33,65.68,17475016.03
PROBOLINGGO,2017,1155214.0,1696.21,0.36,64.28,29961627.15
PASURUAN,2017,1605307.0,1474.02,0.34,66.69,124879824.9
SIDOARJO,2017,2183682.0,634.38,0.34,78.7,174180087.6
MOJOKERTO,2017,1099504.0,717.83,0.32,72.36,70763170.44
JOMBANG,2017,1253078.0,1115.09,0.34,70.88,34819819.9
NGANJUK,2017,1048799.0,1224.25,0.33,70.69,22799234.53
MADIUN,2017,679888.0,1037.58,0.32,70.27,16374841.49
MAGETAN,2017,628609.0,688.84,0.39,72.6,16293369.22
NGAWI,2017,829899.0,1295.98,0.34,69.27,17710412.32
BOJONEGORO,2017,1243906.0,2198.79,0.29,67.28,64866179.79
TUBAN,2017,1163614.0,1834.15,0.31,66.77,56401066.51
LAMONGAN,2017,1188478.0,1782.05,0.32,71.11,34270505.03
GRESIK,2017,1285018.0,1191.25,0.29,74.84,118519230.8
BANGKALAN,2017,970894.0,1001.44,0.3,62.3,21654591.44
SAMPANG,2017,958082.0,1233.08,0.29,59.9,17619499.54
PAMEKASAN,2017,863004.0,792.24,0.33,64.93,14620575.97
SUMENEP,2017,1081204.0,1998.54,0.24,64.28,30546237.92
KOTA KEDIRI,2017,284002.0,63.4,0.4,77.13,115650217.2
KOTA BLITAR,2017,139995.0,32.57,0.39,77.1,5782364.14
KOTA MALANG,2017,861414.0,145.28,0.42,80.65,62089303.68
KOTA PROBOLINGGO,2017,233123.0,56.67,0.37,72.09,9660035.06
KOTA PASURUAN,2017,197696.0,35.29,0.38,74.39,7105188.52
KOTA MOJOKERTO,2017,127279.0,16.47,0.39,76.77,5828234.68
KOTA MADIUN,2017,176099.0,33.29,0.36,80.13,12111900.47
KOTA SURABAYA,2017,2874699.0,350.54,0.39,81.07,493026304.5
KOTA BATU,2017,203997.0,136.74,0.3,74.26,14241465.52
BANTEN,2017,12448160.0,9662.92,0.382,71.42,
PANDEGLANG,2017,1205203.0,2746.89,0.279,63.82,24182302.52
LEBAK,2017,1288103.0,3426.56,0.268,62.95,24485545.31
TANGERANG,2017,3584770.0,1011.86,0.329,70.97,118994083.8
SERANG,2017,1493591.0,1734.28,0.285,65.6,65905439.09
KOTA TANGERANG,2017,2139891.0,153.93,0.343,77.01,149005544.8
KOTA CILEGON,2017,425103.0,175.5,0.341,72.29,88871488.8
KOTA SERANG,2017,666600.0,266.71,0.358,71.31,26452445.43
KOTA TANGERANG SELATAN,2017,1644899.0,147.19,0.361,80.84,67980904.38
BALI,2017,4246500.0,5590.21,0.384,74.3,
JEMBRANA,2017,274900.0,849.13,0.317,70.72,12116480.97
TABANAN,2017,441000.0,849.31,0.311,74.86,20376580.82
BADUNG,2017,643500.0,398.75,0.319,80.54,52343653.65
GIANYAR,2017,503900.0,364.36,0.268,76.09,24224219.01
KLUNGKUNG,2017,177400.0,313.96,0.371,70.13,7784619.12
BANGLI,2017,225100.0,526.76,0.301,68.24,5976573.29
KARANGASEM,2017,412800.0,839.32,0.323,65.57,14598384.61
BULELENG,2017,653600.0,1322.75,0.309,71.11,30318755.13
KOTA DENPASAR,2017,914300.0,125.87,0.341,83.01,46835754.88
NUSA TENGGARA BARAT,2017,4955578.0,18598.82,0.371,66.58,
LOMBOK BARAT,2017,675222.0,923.06,0.371,66.37,13942828.32
LOMBOK TENGAH,2017,930797.0,1095.03,0.371,64.36,15779244.25
LOMBOK TIMUR,2017,1183204.0,1230.76,0.371,64.37,17549454.41
SUMBAWA,2017,449680.0,6643.98,0.371,65.84,12648920.99
DOMPU,2017,245387.0,2391.54,0.371,66.33,6144742.11
BIMA,2017,478967.0,3405.63,0.371,65.01,10030687.02
SUMBAWA BARAT,2017,140890.0,1849.02,0.371,70.08,23938406.18
LOMBOK UTARA,2017,216515.0,776.25,0.371,63.04,4353683.2
KOTA MATARAM,2017,468509.0,61.3,0.371,77.84,16521355.94
KOTA BIMA,2017,166407.0,222.25,0.371,74.36,3632894.65
NUSA TENGGARA TIMUR,2017,5287302.0,47426.43,0.359,63.73,
SUMBA BARAT,2017,125776.0,737.42,0.359,62.3,1988825.4
SUMBA TIMUR,2017,252704.0,7000.5,0.359,64.19,5370176.55
KUPANG,2017,372777.0,5434.76,0.359,62.79,6530311.3
TIMOR TENGAH SELATAN,2017,463980.0,3947.0,0.359,61.08,6727603.93
TIMOR TENGAH UTARA,2017,249711.0,2669.7,0.359,62.03,3532401.9
BELU,2017,213596.0,1284.97,0.359,61.44,3784671.22
ALOR,2017,202890.0,2864.6,0.359,59.61,2594740.35
LEMBATA,2017,137714.0,1266.0,0.359,63.09,1586163.06
FLORES TIMUR,2017,251611.0,1813.2,0.359,62.89,4511123.61
SIKKA,2017,317292.0,1731.9,0.359,63.08,4326749.11
ENDE,2017,272084.0,2046.5,0.359,66.11,5266647.4
NGADA,2017,159081.0,1645.88,0.359,66.47,3014618.68
MANGGARAI,2017,329198.0,2096.44,0.359,62.24,3964645.6
ROTE NDAO,2017,159614.0,1280.0,0.359,60.51,2635282.43
MANGGARAI BARAT,2017,263207.0,2397.03,0.359,61.65,2896539.4
SUMBA TENGAH,2017,70719.0,1868.74,0.359,59.39,999011.85
SUMBA BARAT DAYA,2017,331894.0,1480.46,0.359,61.46,3198892.3
NAGEKEO,2017,142804.0,1416.96,0.359,64.74,1928589.99
MANGGARAI TIMUR,2017,280118.0,2642.93,0.359,58.51,2720529.18
SABU RAIJUA,2017,91512.0,460.54,0.359,55.22,1190444.51
MALAKA,2017,186312.0,1160.63,0.359,58.9,2357373.35
KOTA KUPANG,2017,412708.0,180.27,0.359,78.25,20571174.23
KALIMANTAN BARAT,2017,4932499.0,149932.06,0.317,66.26,
SAMBAS,2017,529684.0,6394.7,0.275,65.92,17506898.83
BENGKAYANG,2017,247084.0,5396.3,0.274,65.99,7389965.41
LANDAK,2017,367790.0,8831.0,0.293,64.93,8963775.89
MEMPAWAH,2017,258216.0,2797.88,0.273,64.0,6968917.65
SANGGAU,2017,457701.0,12857.7,0.279,64.61,16897887.24
KETAPANG,2017,495087.0,31588.0,0.29,65.71,22495910.92
SINTANG,2017,407901.0,21638.0,0.294,65.16,12282698.81
KAPUAS HULU,2017,254712.0,29842.03,0.325,64.18,8678123.81
SEKADAU,2017,197683.0,6263.07,0.287,63.04,5314817.43
MELAWI,2017,202306.0,10640.8,0.348,64.43,4359086.19
KAYONG UTARA,2017,109101.0,4568.26,0.322,61.52,3490006.3
KUBU RAYA,2017,562917.0,8492.0,0.29,66.31,23700994.16
KOTA PONTIANAK,2017,627021.0,118.32,0.327,77.93,33416835.37
KOTA SINGKAWANG,2017,215296.0,504.0,0.286,70.25,9013049.66
KALIMANTAN TENGAH,2017,2500663.0,96612.5,0.343,69.79,
KOTAWARINGIN BARAT,2017,290493.0,10759.0,0.309,72.11,16344793.95
KOTAWARINGIN TIMUR,2017,453492.0,16796.0,0.349,70.17,22390687.01
KAPUAS,2017,359976.0,14999.0,0.31,68.04,13561465.61
BARITO SELATAN,2017,13245.0,883.0,0.326,69.25,5410055.7
BARITO UTARA,2017,132800.0,83.0,0.317,69.07,8254823.99
SUKAMARA,2017,61232.0,3827.0,0.337,66.98,3579967.13
LAMANDAU,2017,76968.0,6414.0,0.314,69.17,4524346.54
SERUYAN,2017,196848.0,16404.0,0.288,66.14,7585616.3
KATINGAN,2017,157500.0,175.0,0.266,67.56,6805596.05
PULANG PISAU,2017,125958.0,8997.0,0.295,67.0,4435289.81
GUNUNG MAS,2017,118855.0,10805.0,0.296,69.95,4694379.02
