Regency/City,Year,Land Area (km2),Population,GDP,Gini,HDI
KARAWANG,2017,1652.2,2316489.0,197423975.3,0.403,69.17
BEKASI,2017,1224.88,3500023.0,281821526.6,0.403,72.63
BANDUNG BARAT,2017,1305.77,1666510.0,40204396.93,0.403,66.63
PANGANDARAN,2017,1010.0,395098.0,9400780.12,0.403,66.6
KOTA BOGOR,2017,118.5,1081009.0,38478473.74,0.403,75.16
KOTA SUKABUMI,2017,48.25,323788.0,10549217.87,0.403,73.03
KOTA BANDUNG,2017,167.67,2497938.0,240109626.7,0.403,80.31
KOTA CIREBON,2017,37.36,313325.0,19821298.75,0.403,74.0
KOTA BEKASI,2017,206.61,2859630.0,83327643.95,0.403,80.3
KOTA DEPOK,2017,200.29,2254513.0,58408776.96,0.403,79.83
KOTA CIMAHI,2017,39.27,601099.0,26580075.56,0.403,76.95
KOTA TASIKMALAYA,2017,171.61,661404.0,18265988.56,0.403,71.51
KOTA BANJAR,2017,113.49,182388.0,3848361.95,0.403,70.79
CILACAP,2017,2124.47,1711627.0,103921776.0,0.365,68.9
BANYUMAS,2017,1335.3,1665025.0,45585979.73,0.365,70.75
PURBALINGGA,2017,677.55,916427.0,21439650.09,0.365,67.72
BANJARNEGARA,2017,1023.73,912917.0,18545598.4,0.365,65.86
KEBUMEN,2017,1211.74,1192007.0,24068988.49,0.365,68.29
PURWOREJO,2017,1091.49,714574.0,16155396.44,0.365,71.31
WONOSOBO,2017,981.41,784207.0,16255103.4,0.365,66.89
MAGELANG,2017,1102.93,1268396.0,28183854.01,0.365,68.39
BOYOLALI,2017,1008.45,974579.0,27914646.55,0.365,72.64
KLATEN,2017,658.22,1167401.0,34174819.85,0.365,74.25
SUKOHARJO,2017,489.12,878374.0,31621414.17,0.365,75.56
WONOGIRI,2017,1793.67,954706.0,25104341.16,0.365,68.66
KARANGANYAR,2017,775.44,871596.0,31552289.97,0.365,75.22
SRAGEN,2017,941.54,885122.0,32410814.98,0.365,72.4
GROBOGAN,2017,2013.86,1365207.0,23463543.25,0.365,68.87
BLORA,2017,1821.59,858865.0,21865831.17,0.365,67.52
REMBANG,2017,887.13,628922.0,16324716.54,0.365,68.95
PATI,2017,1489.19,1246691.0,36790695.26,0.365,70.12
KUDUS,2017,425.15,851478.0,97163854.2,0.365,73.84
JEPARA,2017,1059.25,1223198.0,25785377.48,0.365,70.79
DEMAK,2017,900.12,1140675.0,22621049.05,0.365,70.41
SEMARANG,2017,950.21,1027489.0,42621419.92,0.365,73.2
TEMANGGUNG,2017,837.71,759128.0,18807712.01,0.365,68.34
KENDAL,2017,1118.13,957024.0,36520986.43,0.365,70.62
BATANG,2017,788.65,756079.0,18661966.98,0.365,67.35
PEKALONGAN,2017,837.0,886197.0,19709225.7,0.365,68.4
PEMALANG,2017,1118.03,1296281.0,21860524.17,0.365,65.04
TEGAL,2017,876.1,1433515.0,30278514.25,0.365,66.44
BREBES,2017,1902.37,1796004.0,39963111.45,0.365,64.86
KOTA MAGELANG,2017,16.06,121474.0,7606070.53,0.365,77.84
KOTA SURAKARTA,2017,46.01,516102.0,41042339.48,0.365,80.85
KOTA SALATIGA,2017,57.36,188928.0,11382348.72,0.365,81.68
KOTA SEMARANG,2017,373.78,1757686.0,160292032.0,0.365,82.01
KOTA PEKALONGAN,2017,45.25,301870.0,9274261.81,0.365,73.77
KOTA TEGAL,2017,39.68,248094.0,12996752.28,0.365,73.95
KULON PROGO,2017,586.27,421295.0,9060465.33,0.392,73.23
BANTUL,2017,506.86,995264.0,22611706.74,0.413,78.67
GUNUNG KIDUL,2017,1485.36,729364.0,16199841.88,0.34,68.73
SLEMAN,2017,574.82,1192512.0,40047863.6,0.406,82.85
KOTA YOGYAKARTA,2017,32.5,422732.0,31309045.23,0.446,85.49
PACITAN,2017,1389.92,553388.0,13775322.27,0.32,66.51
PONOROGO,2017,1305.7,869894.0,17690420.18,0.34,69.26
TRENGGALEK,2017,1147.22,693104.0,16081654.54,0.35,68.1
TULUNGAGUNG,2017,1055.65,1030790.0,33640178.0,0.35,71.24
BLITAR,2017,1336.48,1153803.0,31574359.64,0.37,69.33
KEDIRI,2017,1386.05,1561392.0,35789536.58,0.34,70.47
MALANG,2017,3530.65,2576596.0,88979167.77,0.35,68.47
