Province/Regency/City,2016,2017,2018,2019,2020,2021,2022,2023
Kota Kupang,78.14,78.25,78.84,79.55,79.71,79.74,80.2,80.62
KALIMANTAN BARAT,65.88,66.26,66.98,67.65,67.66,67.9,68.63,69.41
Sambas,64.94,65.92,66.61,67.02,67.03,67.1,67.95,68.69
Bengkayang,65.45,65.99,66.85,67.57,67.87,68.04,68.74,69.53
Landak,64.58,64.93,65.45,65.96,65.98,66.21,67.17,68.14
Mempawah,63.84,64,64.9,65.5,65.74,66.03,66.94,67.92
Sanggau,63.9,64.61,65.15,65.67,65.77,66.2,66.91,67.77
Ketapang,64.74,65.71,66.41,67.16,67.17,67.43,67.92,68.68
Sintang,64.78,65.16,66.07,66.7,66.88,66.93,67.86,68.67
Kapuas Hulu,63.83,64.18,65.03,65.65,65.69,65.75,66.7,67.67
Sekadau,62.52,63.04,63.69,64.34,64.76,64.93,65.58,66.33
Melawi,64.25,64.43,65.05,65.54,65.55,65.87,66.81,67.76
Kayong Utara,60.87,61.52,61.82,62.66,62.68,62.9,63.81,64.79
Kubu Raya,65.54,66.31,67.23,67.76,67.95,68.16,68.91,69.6
Kota Pontianak,77.63,77.93,78.56,79.35,79.44,79.93,80.48,81.03
Kota Singkawang,70.1,70.25,71.08,71.72,71.94,72.11,72.89,73.39
