Province/Regency/City,,,,,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,,,,,,,,
Sidoarjo,2183682,2216804,2249476,2082801,2091930,2103401,,,,,,,,
Mojokerto,1099504,1108718,1117688,1119209,1125522,1133584,,,,,,,,
Jombang,1253078,1258618,1263814,1318062,1325914,1335972,,,,,,,,
Nganjuk,1048799,1051900,1054611,1103902,1109683,1117033,,,,,,,,
Madiun,679888,681394,682684,744350,750143,757665,,,,,,,,
Magetan,628609,628924,628977,670812,674133,678343,,,,,,,,
Ngawi,829899,830090,830108,870057,873346,877432,,,,,,,,
Bojonegoro,1243906,1246927,1249692,1301635,1307602,1315125,,,,,,,,
Tuban,1163614,1168277,1172790,1198012,1203127,1209543,,,,,,,,
Lamongan,1188478,1188913,1189106,1344165,1356027,1371509,,,,,,,,
Gresik,1285018,1299024,1312881,1311215,1320570,1332664,,,,,,,,
Bangkalan,970894,978892,986672,1060377,1071712,1086620,,,,,,,,
Sampang,958082,968520,978875,969694,976020,984162,,,,,,,,
Pamekasan,863004,871497,879992,850057,853507,857818,,,,,,,,
Sumenep,1081204,1085227,1088910,1124436,1129822,1136632,,,,,,,,
Kota Kediri,284002,285582,287409,286796,287962,289418,,,,,,,,
Kota Blitar,139995,140971,141876,149149,150371,151960,,,,,,,,
Kota Malang,861414,866118,870682,843810,844933,846126,,,,,,,,
Kota Probolinggo,233123,235211,237208,239649,241202,243200,,,,,,,,
Kota Pasuruan,197696,199078,200422,208006,209528,211497,,,,,,,,
Kota Mojokerto,127279,128282,129014,132434,133272,134350,,,,,,,,
Kota Madiun,176099,176697,177007,195175,196917,199192,,,,,,,,
Kota Surabaya,2874699,2885555,2896195,2874314,2880284,2887223,,,,,,,,
Kota Batu,203997,205788,207490,213046,214653,216735,,,,,,,,
BANTEN,12448160,12689736,12927316,11904562,12061500,12252000,,,,,,,,
Pandeglang,1205203,1209011,1211909,1272687,1288168.2,1307288.4,,,,,,,,
Lebak,1288103,1295810,1302608,1386793,1407577.05,1433484,,,,,,,,
Tangerang,3584770,3692693,3800787,3245619,3293995.65,3352147.2,,,,,,,,
Serang,1493591,1501501,1508397,1622630,1647600.9,1678524,,,,,,,,
Kota Tangerang,2139891,2185304,2229901,1895486,1911747.75,1930915.2,,,,,,,,
Kota Cilegon,425103,431305,437205,434896,441450.9,450873.6,,,,,,,,
Kota Serang,666600,677804,688603,692101,704391.6,720417.6,,,,,,,,
Kota Tangerang Selatan,1644899,1696308,1747906,1354350,1365361.8,1378350,,,,,,,,
BALI,4246500,4292200,4336900,4317404,4362700,4415064,,,,,,,,
Jembrana,274900,276600,278100,317064,321900,327854,,,,,,,,
Tabanan,441000,443500,445700,461630,465300,46934,,,,,,,,
Badung,643500,656900,670200,548191,549300,549527,,,,,,,,
Gianyar,503900,508100,512200,515344,519500,523972,,,,,,,,
Klungkung,177400,178300,179100,206925,210100,214012,,,,,,,,
Bangli,225100,226200,227300,258721,262500,267133,,,,,,,,
Karangasem,412800,414800,416600,492402,500800,511277,,,,,,,,
Buleleng,653600,657200,660600,791813,806600,825141,,,,,,,,
Kota Denpasar,914300,930600,947100,725314,726600,726808,,,,,,,,
NUSA TENGGARA BARAT,4955578,5013687,5070385,5299870,5387148,5473970,,,,,,,,
Lombok Barat,675222,685161,694985,718548,730360,742074,,,,,,,,
Lombok Tengah,930797,939409,947488,1029025,1049364,1069583,,,,,,,,
Lombok Timur,1183204,1192110,1200612,1321315,1344733,1368136,,,,,,,,
Sumbawa,449680,453797,457671,508028,515211,522357,,,,,,,,
Dompu,245387,248879,252288,235758,239605,243404,,,,,,,,
Bima,478967,483901,488577,512063,519859,527664,,,,,,,,
Sumbawa Barat,140890,144707,148606,145093,147736,150338,,,,,,,,
Lombok Utara,216515,218533,220412,246598,250369,254145,,,,,,,,
Kota Mataram,468509,477476,486715,428891,433073,437162,,,,,,,,
Kota Bima,166407,169714,173031,154551,156838,159107,,,,,,,,
NUSA TENGGARA TIMUR,5287302,5371519,5456203,5541394,5387738,5466285,,,,,,,,
Sumba Barat,125776,127872,129710,131600,148252,152407,,,,,,,,
Sumba Timur,252704,255601,258486,261503,246618,248776,,,,,,,,
Kupang,372777,387479,403582,421618,372101,379464,,,,,,,,
Timor Tengah Selatan,463980,465970,467990,469673,457406,459600,,,,,,,,
Timor Tengah Utara,249711,251993,254171,256299,262698,266293,,,,,,,,
Belu,213596,216783,220115,223176,220764,224306,,,,,,,,
Alor,202890,204380,205599,206806,213994,216629,,,,,,,,
Lembata,137714,140390,143074,145685,137631,139787,,,,,,,,
Flores Timur,251611,253818,255916,257785,281001,286270,,,,,,,,
Sikka,317292,318920,320401,321790,324252,326999,,,,,,,,
Ende,272084,272988,273929,274599,272078,273553,,,,,,,,
Ngada,159081,161196,163217,165314,167396,170115,,,,,,,,
Manggarai,329198,333912,338424,342908,315041,317646,,,,,,,,
Rote Ndao,159614,165807,172104,178805,145972,148811,,,,,,,,
Manggarai Barat,263207,269029,274689,280412,259566,263687,,,,,,,,
Sumba Tengah,70719,71801,72800,73820,87630,90482,,,,,,,,
Sumba Barat Daya,331894,338427,344720,350923,305689,308106,,,,,,,,
Nagekeo,142804,144414,145826,147189,162463,166002,,,,,,,,
Manggarai Timur,280118,283313,287207,289836,277914,280732,,,,,,,,
Sabu Raijua,91512,94406,97379,100684,90837,92792,,,,,,,,
Malaka,186312,189220,191892,194776,185809,188191,,,,,,,,
Kota Kupang,412708,423800,434972,446193,452626,465637,,,,,,,,
KALIMANTAN BARAT,4932499,5001664,5069127,5414390,5470797,5541376,,,,,,,,
Sambas,529684,532609,535725,629905,637811,647844,,,,,,,,
Bengkayang,247084,251320,255261,286366,290943,296855,,,,,,,,
Landak,367790,372609,377305,397610,401103,405396,,,,,,,,
Mempawah,258216,261299,264225,301560,305673,310927,,,,,,,,
Sanggau,457701,463995,470224,484836,488527,492989,,,,,,,,
Ketapang,495087,504008,512783,570657,579927,591917,,,,,,,,
Sintang,407901,413369,418785,421306,423674,426416,,,,,,,,
Kapuas Hulu,254712,258984,263207,252609,253740,254995,,,,,,,,
Sekadau,197683,199576,201578,211559,212878,214429,,,,,,,,
Melawi,202306,205298,208417,228270,231242,235025,,,,,,,,
Kayong Utara,109101,110899,112715,126571,128550,131104,,,,,,,,
Kubu Raya,562917,570914,579331,609392,615125,622217,,,,,,,,
Kota Pontianak,627021,637723,646661,658685,663713,669795,,,,,,,,
Kota Singkawang,215296,219061,222910,235064,237891,241467,,2500663,,,,,,
KALIMANTAN TENGAH,2500663,2612600,2649800,2669969,2702170,2741075,,,,,,,,
Kotawaringin Barat,290493,301252,312011,270388,272531,274935,,,,,,,,
Kotawaringin Timur,453492,453492,470288,428895,432283,436079,,,,,,,,
Kapuas,359976,359976,359976,410446,416181,423210,,,,,,,,
Barito Selatan,13245,13245,13245,131140,131606,131997,,,,,,,,
Barito Utara,132800,132800,132800,154812,157231,160235,,,,,,,,
Sukamara,61232,61232,65059,63464,64941,66845,,,,,,,,
Lamandau,76968,83382,83382,97611,100535,104387,,,,,,,,
Seruyan,196848,196848,213252,162906,164378,166072,,,,,,,,
Katingan,157500,175000,175000,162222,163099,163989,,,,,,,,
Pulang Pisau,125958,125958,125958,134499,135336,136221,,,,,,,,
Gunung Mas,118855,118855,118855,135373,138407,142309,,,,,,,,
Barito Timur,118854,122688,126522,113229,114243,115406,,,,,,,,
