Kabupaten/Kota,2016,2017,2018,2019,2020,2021,2022
Bangka Barat,12249432.96,13221427.41,13817298.69,14157204.8,13414979.73,15431570.35,16759677.74
Bangka Tengah,7469014.47,7972210.19,8213317.39,8566895.53,8447020.56,9372097.88,10524128.79
Bangka Selatan,7541523.67,8165172.68,8457248.45,8664389.95,8679074.82,9776172.96,10692535.24
Belitung Timur,6604204.26,7151803.12,7405859.48,7713766.85,7833738.65,8882481.99,9785767.95
Kota Pangkal Pinang,11116493.26,12108566.32,12955301.61,13648934.02,13454648.74,15375991.21,17277544.15
Karimun,10610202.29,11618487.19,12628782.5,13544171.26,13310630.17,14195741.34,15554497.43
Bintan,16596398.21,17982664.56,19597810.41,21303013.23,20743697.61,21251125.59,22995777.49
Natuna,18552328.13,19604964.77,21123646.47,21795500.69,18405913.23,20870156.14,24265429.84
Lingga,3284253.46,3659729.61,3969325.56,4274268.9,4292433.34,4499271.67,4852610.13
Kepulauan Anambas,16597582.16,17256606.21,16849268.26,17439770.75,14453581.75,16697525.6,19909089.78
Kota Batam,130553208.1,137925335.1,151285143.5,164490116,161364182.3,172843903.8,194836257.2
Kota Tanjung Pinang,17065532.74,18088953.23,19078150.15,20167982.49,19665012.39,20099373.55,21792471.59
Kep. Seribu,6522313.95,7200321.26,8179772.89,7926263.5,6416485.68,8154516.93,10134628.69
Kota Jakarta Selatan,483271232.3,532511114.8,586117970.8,642464231.9,643561851.9,668427460.1,730224707.9
Kota Jakarta Timur,379430754.8,414702563.1,453144264.8,488499494.7,469995030.7,500421580.7,546877291.2
Kota Jakarta Pusat,531114513.1,581697980.1,638825987.8,699838120,700790711,728074607.5,794935797.9
Kota Jakarta Barat,356364555.5,392281649.7,431470351.6,470458815.6,469053301.5,493802942.5,540696903.4
Kota Jakarta Utara,407047791.2,445913787.7,488514493.1,522378823.6,496669687.6,536002760.3,587659637
Bogor,184249649.5,200897681.8,219239943.2,237227082.1,235887257.9,248892476.1,267743693.1
Sukabumi,51437373.85,56001511.13,61614784.05,67423121.28,67462172.98,70738039.35,76243665.35
Cianjur,35386457.73,38575001.4,42971245.4,46957854.9,47535466.67,50137664.64,53988970.65
Bandung,94334764.17,102865597.4,112982080.9,123985749,123602777.8,130476828.5,143002068.5
Garut,44452442.02,48029131.17,53036446.7,57874566.14,58043174.12,60836393.3,66590619.98
Tasikmalaya,27995996.39,30532533.12,34023587.07,37310226.47,37443447.75,39285636.36,42659502.77
Ciamis,24524451.4,26544477.04,29090461.84,31536104.02,31974405.03,33688053.94,36773714.56
Kuningan,18563286.16,20463990.21,22764226.08,25093153.97,25618866.65,26919102.72,29519831.26
Cirebon,38840772.25,41919286.13,45499277.03,49135805.7,49561562.9,52309936.87,56653642.54
Majalengka,23207739.89,25405614.58,28098356.43,31340233.1,32179217.04,34200677.5,37778836.04
Sumedang,27007794.15,29638762.78,32533267.44,35439626.58,35489082.66,37250246.15,40220759.18
Indramayu,66533442.4,69814296.3,74920424.4,80389855.61,79286229.64,81594848.56,90773384.43
Subang,31530209.79,34259779.11,37520083.22,40790680.41,40148318.1,42292910.51,46110396.01
Purwakarta,54575707.4,58556945.77,63116672.12,67709507.58,66971590.15,70778245.68,76468931.27
Karawang,182984952.5,197423975.3,215547356.2,230201341,223422078.6,243713323.3,268228786.3
Bekasi,261910564.6,281821526.6,305559640,326083640.8,317633824.3,340389974.5,367573268
Bandung Barat,37043259.92,40204396.93,43807707.4,47180080.5,46478896.6,48764313.89,52921291.14
Pangandaran,8683898.59,9400780.12,10352224.38,11311685.83,11498234.46,12129690.95,13163695.66
Kota Bogor,35400811.31,38478473.74,42261020.74,46197757.13,45911864.14,48325644.61,52914598.44
Kota Sukabumi,9718687.89,10549217.87,11472892.73,12387691.54,12401540.58,13053044.18,14192254.06
Kota Bandung,216863639.6,240109626.7,264393083.6,288460876,283626741.1,297116262.9,328317612.3
Kota Cirebon,18139081.42,19821298.75,21639256.31,23491803.45,23428792.05,24506594.05,26617841.99
Kota Bekasi,76908860.39,83327643.95,90980622.26,98107697.77,96492278.57,101383360.7,109881376.1
Kota Depok,53331050.97,58408776.96,64363243.6,70964044.3,70386330.72,74382336.08,81166746.76
Kota Cimahi,24563810.76,26580075.56,29240033.01,32639542.12,32210679.03,34244468.76,37538209.79
Kota Tasikmalaya,16751144.1,18265988.56,19977556.15,21750914.27,21589359.4,22844023.67,24974677.66
Kota Banjar,3606181.87,3848361.95,4106618.59,4379813.96,4445118.63,4656636.12,4916166.53
Cilacap,99033565.66,103921776,109699658.8,114117079.8,104542659.5,109653598.2,120938296.4
Banyumas,42016940.5,45585979.73,49896126.75,53948860.05,53682112.37,56919815.96,62852908.13
Purbalingga,19984164.28,21439650.09,23190328.56,24917589.96,25093682.28,26393807.46,28820822.77
Banjarnegara,17217246.96,18545598.4,20069802.33,21599477.27,21694375.77,22827887.3,24996481.74
Kebumen,22434948.76,24068988.49,26037016.66,27936659.65,28014905.7,29563144.02,32601944.7
Purworejo,15013872.35,16155396.44,17407507.43,18657373.14,18646485.02,19602717.78,21349004.94
Wonosobo,15367781.8,16255103.4,17493244.85,18807664.1,18838679.07,19856862.36,21590618.38
Magelang,26232349.05,28183854.01,30339465.47,32497408.5,32462030.1,34176312.43,37449365.03
Boyolali,25756715.67,27914646.55,30258836.39,32665981.16,32687589.9,34896960.78,38814934.12
Klaten,31619241.19,34174819.85,36993970.46,39766522.78,39939640.38,42271255.88,46613428.71
Sukoharjo,29130306.98,31621414.17,34211246.04,36945880.36,36890533.42,38990458.19,42819987.27
Wonogiri,23329378.86,25104341.16,27136616.42,29044917.06,29166531.53,30581452.94,33699422.13
Karanganyar,29172749.37,31552289.97,34324380.71,37014752.03,37023453.39,39157912.6,43116960.28
Sragen,29826142.98,32410814.98,35100061.65,37836230.82,37850990.68,40087775.48,44280477.06
Grobogan,21764917.28,23463543.25,25407053.22,27278521.82,27268744.5,28815024.86,31819468.19
Blora,20010947.35,21865831.17,24631543.5,25965937.47,24004210.06,26928608.47,30968894.31
Rembang,14871689.64,16324716.54,17690102.92,18944046.78,18943648.8,20071106.77,22107209.24
Pati,33953935.22,36790695.26,39901328.44,43039953.68,43288565.81,45565935.33,50110967.1
Kudus,90091575.43,97163854.2,104056376.2,110580428.5,109538558.6,108726467.8,114664501.5
Jepara,23949816.71,25785377.48,27996907.49,30230196.61,30175170.54,32045698.36,35001075.36
Demak,20938835.69,22621049.05,24429141.74,26184294.58,26546066.41,27649980,30256163.85
Semarang,39528618.88,42621419.92,46188055.96,49620375.46,49046716.57,51796320.01,56632203.74
Temanggung,17548930.01,18807712.01,20229292.56,21648988.07,21557077.14,22627791.48,24733342.72
Kendal,33797968.33,36520986.43,39548993.26,42550706.97,42586186.69,45164800.8,49705156.3
Batang,17279827.39,18661966.98,20180576.47,21585719.48,21621362.81,23125755.99,25488048.01
Pekalongan,18256295.67,19709225.7,21314311.91,22857063.6,22803190.5,24030300.26,25998888.9
Pemalang,20213315.71,21860524.17,23670900.26,25483601.77,25820813.34,27443892.73,29948827.68
Tegal,28025643.38,30278514.25,32770354.5,35217969.61,35299977.86,37334993.58,40781386.16
Brebes,37448715.5,39963111.45,42973395.36,46178657.58,47058595.6,48966236.57,53771057.5
Kota Magelang,7023900.08,7606070.53,8201328.71,8806285.6,8713158.54,9178749.62,10088598.49
Kota Surakarta,37771066.12,41042339.48,44429816.95,47999714.41,47621820.53,50371564.19,55964803.85
Kota Salatiga,10534591.57,11382348.72,12339179.98,13310955.95,13271841.36,14008905.62,15407642.3
Kota Semarang,147049319.8,160292032,175223201.3,191352036.3,188731693.9,204871001.7,227619168.1
Kota Pekalongan,8507535.11,9274261.81,10089284.87,10873976.04,10848872.87,11460582.99,12599933.42
Kota Tegal,11963075.45,12996752.28,14104486.26,15284713.52,15224684.62,16017044.53,17706313.13
Kulon Progo,8312004.62,9060465.33,10312524.4,11995771.6,11738121.61,12599819.55,14303541.52
